ADE60323032312d323032325354455449454e4e452d31313237372d302d30 ; 2021-12-03 ; 09:00 ; 2:00 ; TP ; R101c ; G_019 ; MARTINI PIERRE ; B1
ADE60323032312d323032325354455449454e4e452d31343633392d302d37 ; 2021-12-10 ; 15:00 ; 2:00 ; TP ; R104 ; G_004 ; CHEVRIER JEAN-PIERRE ; B1
ADE60323032312d323032325354455449454e4e452d32343039312d302d3132 ; 2021-12-06 ; 13:00 ; 2:00 ; TD ; R110 ; D_024 ; DO RAMO CARLOS ; A
ADE60323032312d323032325354455449454e4e452d31363633372d302d37 ; 2021-10-21 ; 06:00 ; 2:00 ; TP ; R107 ; G_007 ; BIARD MATHIEU ; B2
ADE60323032312d323032325354455449454e4e452d31343536322d302d30 ; 2021-09-13 ; 08:00 ; 2:00 ; TD ; R101b ; D_026 ; CHAMBERT CHRISTOPHE ; B
ADE60323032312d323032325354455449454e4e452d31363631382d302d35 ; 2021-10-07 ; 06:00 ; 2:00 ; TP ; R107 ; G_007 ; LACAN DAVID ; A1
ADE60323032312d323032325354455449454e4e452d31313237372d302d31 ; 2021-12-03 ; 13:00 ; 2:00 ; TP ; R101c ; G_019 ; MARTINI PIERRE ; B1
ADE60323032312d323032325354455449454e4e452d32373737392d302d32 ; 2021-12-08 ; 16:00 ; 1:00 ; TP ; SAE13 ; G_007 ; vide ; A1
ADE60323032312d323032325354455449454e4e452d33313037302d382d30 ; 2021-12-02 ; 13:00 ; 2:00 ; vide ; Soutien RT1-RT2 (Non Obligatoire) ; G_019 ; vide ; vide
ADE60323032312d323032325354455449454e4e452d31363532322d302d38 ; 2021-09-30 ; 08:00 ; 1:00 ; TP ; SAE11 ; G_019 ; vide ; B1
ADE60323032312d323032325354455449454e4e452d31343631352d302d30 ; 2021-10-26 ; 08:00 ; 2:00 ; TD ; R102 ; G_004 ; MATICHARD PIERRE-JEAN ; A
ADE60323032312d323032325354455449454e4e452d333937372d302d31 ; 2021-12-13 ; 13:00 ; 4:00 ; TP ; R102 ; G_002 ; CHAMBERT CHRISTOPHE ; B1
ADE60323032312d323032325354455449454e4e452d31363236312d302d36 ; 2021-09-20 ; 06:00 ; 2:00 ; TP ; R108 (TP) PJM ; G_012 ; MATICHARD PIERRE-JEAN ; B1
