time;protocol;ip src;src port;ip dst;dst port;flags;seq;ack;options;length
07:48:19.732369;IP;BP-Linux8;ssh;192.168.190.222;61617;[P.];2767521980:2767522088;3024075344;options|nop,nop,TS|val|136694980|ecr|2033236869;108
07:48:19.732419;IP;BP-Linux8;ssh;192.168.190.222;61617;[P.];108:144;1;options|nop,nop,TS|val|136694980|ecr|2033236869;36
07:48:19.732448;IP;BP-Linux8;ssh;192.168.190.222;61617;[P.];144:252;1;options|nop,nop,TS|val|136694980|ecr|2033236869;108
07:48:19.732472;IP;BP-Linux8;ssh;192.168.190.222;61617;[P.];252:288;1;options|nop,nop,TS|val|136694980|ecr|2033236869;36
07:48:19.737919;IP;192.168.190.222;61617;BP-Linux8;ssh;[.];;108;options|nop,nop,TS|val|2033237655|ecr|136694980;0
07:48:19.737993;IP;192.168.190.222;61617;BP-Linux8;ssh;[.];;144;options|nop,nop,TS|val|2033237655|ecr|136694980;0
07:48:19.738012;IP;192.168.190.222;61617;BP-Linux8;ssh;[.];;252;options|nop,nop,TS|val|2033237655|ecr|136694980;0
07:48:19.738112;IP;192.168.190.222;61617;BP-Linux8;ssh;[.];;288;options|nop,nop,TS|val|2033237655|ecr|136694980;0
07:48:20.733627;IP;BP-Linux8;49710;ns1.lan.rt;domain;;;;;
07:48:20.734593;IP;ns1.lan.rt;domain;BP-Linux8;49710;;;;;
07:48:21.243601;IP;192.168.190.222;61599;BP-Linux8;ssh;[P.];234188084:234188120;915563485;options|nop,nop,TS|val|2033239158|ecr|136687195;36
07:48:21.244153;IP;BP-Linux8;ssh;192.168.190.222;61599;[P.];1:37;36;options|nop,nop,TS|val|136695358|ecr|2033239158;36
07:48:21.246053;IP;BP-Linux8;54575;ns1.lan.rt;domain;;;;;
07:48:21.249648;IP;192.168.190.222;61599;BP-Linux8;ssh;[.];;37;options|nop,nop,TS|val|2033239164|ecr|136695358;0
07:48:21.273815;IP;ns1.lan.rt;domain;BP-Linux8;54575;;;;;
07:48:21.279679;IP;BP-Linux8;ssh;192.168.190.222;61599;[P.];37:145;36;options|nop,nop,TS|val|136695367|ecr|2033239164;108
07:48:21.279716;IP;BP-Linux8;ssh;192.168.190.222;61599;[P.];145:181;36;options|nop,nop,TS|val|136695367|ecr|2033239164;36
07:48:21.279742;IP;164.100.61.151;1511;52.94.228.167;http;[S];1195841279:1195841399;;;120
07:48:21.279768;IP;164.100.61.151;1512;52.94.228.167;http;[S];477491976:477492096;;;120
07:48:21.279789;IP;164.100.61.151;1513;52.94.228.167;http;[S];200191722:200191842;;;120
07:48:21.279809;IP;164.100.61.151;1514;52.94.228.167;http;[S];1846444293:1846444413;;;120
07:48:21.279829;IP;164.100.61.151;1515;52.94.228.167;http;[S];1210409127:1210409247;;;120
07:48:21.279848;IP;164.100.61.151;1516;52.94.228.167;http;[S];1446674092:1446674212;;;120
07:48:21.279868;IP;164.100.61.151;1517;52.94.228.167;http;[S];945243139:945243259;;;120
07:48:21.279887;IP;164.100.61.151;1518;52.94.228.167;http;[S];67952647:67952767;;;120
07:48:21.279907;IP;164.100.61.151;1519;52.94.228.167;http;[S];1684914822:1684914942;;;120
07:48:21.279926;IP;164.100.61.151;1520;52.94.228.167;http;[S];1267109739:1267109859;;;120
07:48:21.279946;IP;164.100.61.151;1521;52.94.228.167;http;[S];1743382226:1743382346;;;120
07:48:21.279965;IP;164.100.61.151;1522;52.94.228.167;http;[S];1983682305:1983682425;;;120
07:48:21.279985;IP;164.100.61.151;1523;52.94.228.167;http;[S];485665276:485665396;;;120
