time;protocol;ip src;src port;ip dst;dst port;flags;seq;ack;options;length
11:42:04.766656;IP;BP-Linux8;ssh;192.168.190.130;;[P.];2243505564:2243505672;1972915080;options|nop,nop,TS|val|102917262|ecr|377952805;108
11:42:04.766694;IP;BP-Linux8;ssh;192.168.190.130;;[P.];108:144;1;options|nop,nop,TS|val|102917262|ecr|377952805;36
11:42:04.766723;IP;BP-Linux8;ssh;192.168.190.130;;[P.];144:252;1;options|nop,nop,TS|val|102917262|ecr|377952805;108
11:42:04.766744;IP;BP-Linux8;ssh;192.168.190.130;;[P.];252:288;1;options|nop,nop,TS|val|102917262|ecr|377952805;36
11:42:04.785366;IP;192.168.190.130;50019;BP-Linux8;;[.];;108;options|nop,nop,TS|val|377953205|ecr|102917262;0
11:42:04.785384;IP;192.168.190.130;50019;BP-Linux8;;[.];;144;options|nop,nop,TS|val|377953205|ecr|102917262;0
11:42:04.785406;IP;192.168.190.130;50019;BP-Linux8;;[.];;252;options|nop,nop,TS|val|377953205|ecr|102917262;0
11:42:04.785454;IP;192.168.190.130;50019;BP-Linux8;;[.];;288;options|nop,nop,TS|val|377953205|ecr|102917262;0
11:42:05.768334;IP;BP-Linux8;58466;ns1.lan.rt;;;;;;
11:42:05.769075;IP;ns1.lan.rt;domain;BP-Linux8;;;;;;
11:42:06.669393;IP;192.168.190.130;50245;BP-Linux8;;[P.];1601828178:1601828214;1851233244;options|nop,nop,TS|val|377955086|ecr|102913805;36
11:42:06.669906;IP;BP-Linux8;ssh;192.168.190.130;;[P.];1:37;36;options|nop,nop,TS|val|102917738|ecr|377955086;36
11:42:06.679262;IP;BP-Linux8;53220;ns1.lan.rt;;;;;;
11:42:06.679971;IP;ns1.lan.rt;domain;BP-Linux8;;;;;;
11:42:06.681188;IP;BP-Linux8;ssh;192.168.190.130;;[P.];37:153;36;options|nop,nop,TS|val|102917741|ecr|377955086;116
11:42:06.681222;IP;BP-Linux8;ssh;192.168.190.130;;[P.];153:189;36;options|nop,nop,TS|val|102917741|ecr|377955086;36
11:42:06.681248;IP;190-0-175-100.gba.solunet.com.ar;2465;184.107.43.74;;[S];326991629:326991749;;;120
11:42:06.681274;IP;190-0-175-100.gba.solunet.com.ar;2466;184.107.43.74;;[S];920517760:920517880;;;120
11:42:06.681294;IP;190-0-175-100.gba.solunet.com.ar;2467;184.107.43.74;;[S];556803824:556803944;;;120
11:42:06.681312;IP;190-0-175-100.gba.solunet.com.ar;2468;184.107.43.74;;[S];1921632185:1921632305;;;120
11:42:06.681328;IP;190-0-175-100.gba.solunet.com.ar;2469;184.107.43.74;;[S];1170972654:1170972774;;;120
11:42:06.681345;IP;190-0-175-100.gba.solunet.com.ar;2470;184.107.43.74;;[S];754504426:754504546;;;120
11:42:06.681362;IP;190-0-175-100.gba.solunet.com.ar;2471;184.107.43.74;;[S];669863147:669863267;;;120
11:42:06.681379;IP;190-0-175-100.gba.solunet.com.ar;2472;184.107.43.74;;[S];1036593434:1036593554;;;120
11:42:06.681396;IP;190-0-175-100.gba.solunet.com.ar;2473;184.107.43.74;;[S];473640609:473640729;;;120
11:42:06.681413;IP;190-0-175-100.gba.solunet.com.ar;2474;184.107.43.74;;[S];294639309:294639429;;;120
11:42:06.681430;IP;190-0-175-100.gba.solunet.com.ar;2475;184.107.43.74;;[S];2003734750:2003734870;;;120
11:42:06.681446;IP;190-0-175-100.gba.solunet.com.ar;2476;184.107.43.74;;[S];943277646:943277766;;;120
11:42:06.681463;IP;190-0-175-100.gba.solunet.com.ar;2477;184.107.43.74;;[S];612921749:612921869;;;120
11:42:06.681480;IP;190-0-175-100.gba.solunet.com.ar;2478;184.107.43.74;;[S];1079269685:1079269805;;;120
11:42:06.681497;IP;190-0-175-100.gba.solunet.com.ar;2479;184.107.43.74;;[S];1427118982:1427119102;;;120
11:42:06.681514;IP;190-0-175-100.gba.solunet.com.ar;2480;184.107.43.74;;[S];1481846896:1481847016;;;120
11:42:06.681531;IP;190-0-175-100.gba.solunet.com.ar;2481;184.107.43.74;;[S];807245684:807245804;;;120
11:42:06.681548;IP;190-0-175-100.gba.solunet.com.ar;2482;184.107.43.74;;[S];29032482:29032602;;;120
11:42:06.681564;IP;190-0-175-100.gba.solunet.com.ar;2483;184.107.43.74;;[S];2121432424:2121432544;;;120
11:42:06.681581;IP;190-0-175-100.gba.solunet.com.ar;2484;184.107.43.74;;[S];266983944:266984064;;;120
11:42:06.681597;IP;190-0-175-100.gba.solunet.com.ar;2485;184.107.43.74;;[S];780253659:780253779;;;120
11:42:06.681614;IP;190-0-175-100.gba.solunet.com.ar;2486;184.107.43.74;;[S];426927737:426927857;;;120
11:42:06.681630;IP;190-0-175-100.gba.solunet.com.ar;2487;184.107.43.74;;[S];2059846495:2059846615;;;120
11:42:06.681647;IP;190-0-175-100.gba.solunet.com.ar;2488;184.107.43.74;;[S];485695892:485696012;;;120
11:42:06.681664;IP;190-0-175-100.gba.solunet.com.ar;2489;184.107.43.74;;[S];1506899314:1506899434;;;120
11:42:06.681681;IP;190-0-175-100.gba.solunet.com.ar;2490;184.107.43.74;;[S];1974670292:1974670412;;;120
11:42:06.681697;IP;190-0-175-100.gba.solunet.com.ar;2491;184.107.43.74;;[S];984948282:984948402;;;120
11:42:06.681722;IP;190-0-175-100.gba.solunet.com.ar;2492;184.107.43.74;;[S];2071134208:2071134328;;;120
11:42:06.681739;IP;190-0-175-100.gba.solunet.com.ar;2493;184.107.43.74;;[S];582048290:582048410;;;120
11:42:06.681756;IP;190-0-175-100.gba.solunet.com.ar;2494;184.107.43.74;;[S];1414722580:1414722700;;;120
11:42:06.681773;IP;190-0-175-100.gba.solunet.com.ar;2495;184.107.43.74;;[S];1376167161:1376167281;;;120
11:42:06.681789;IP;190-0-175-100.gba.solunet.com.ar;2496;184.107.43.74;;[S];793373662:793373782;;;120
11:42:06.681806;IP;190-0-175-100.gba.solunet.com.ar;2497;184.107.43.74;;[S];586859843:586859963;;;120
11:42:06.681823;IP;190-0-175-100.gba.solunet.com.ar;2498;184.107.43.74;;[S];1313429529:1313429649;;;120
11:42:06.681839;IP;190-0-175-100.gba.solunet.com.ar;2499;184.107.43.74;;[S];599747608:599747728;;;120
11:42:06.681856;IP;190-0-175-100.gba.solunet.com.ar;2500;184.107.43.74;;[S];1764270382:1764270502;;;120
11:42:06.681872;IP;190-0-175-100.gba.solunet.com.ar;2501;184.107.43.74;;[S];1266534982:1266535102;;;120
11:42:06.681889;IP;190-0-175-100.gba.solunet.com.ar;2502;184.107.43.74;;[S];1923888203:1923888323;;;120
11:42:06.681906;IP;190-0-175-100.gba.solunet.com.ar;2503;184.107.43.74;;[S];477956184:477956304;;;120
11:42:06.681924;IP;190-0-175-100.gba.solunet.com.ar;2504;184.107.43.74;;[S];1697346829:1697346949;;;120
11:42:06.681941;IP;190-0-175-100.gba.solunet.com.ar;2505;184.107.43.74;;[S];1581732153:1581732273;;;120
11:42:06.681958;IP;190-0-175-100.gba.solunet.com.ar;2506;184.107.43.74;;[S];2134846905:2134847025;;;120
11:42:06.681975;IP;190-0-175-100.gba.solunet.com.ar;2507;184.107.43.74;;[S];5001436:5001556;;;120
11:42:06.681992;IP;190-0-175-100.gba.solunet.com.ar;2508;184.107.43.74;;[S];100084791:100084911;;;120
11:42:06.682008;IP;190-0-175-100.gba.solunet.com.ar;2509;184.107.43.74;;[S];1351883007:1351883127;;;120
11:42:06.682025;IP;190-0-175-100.gba.solunet.com.ar;2510;184.107.43.74;;[S];892547770:892547890;;;120
11:42:06.682041;IP;190-0-175-100.gba.solunet.com.ar;2511;184.107.43.74;;[S];203925976:203926096;;;120
11:42:06.682058;IP;190-0-175-100.gba.solunet.com.ar;2512;184.107.43.74;;[S];93263311:93263431;;;120
11:42:06.682075;IP;190-0-175-100.gba.solunet.com.ar;2513;184.107.43.74;;[S];589592255:589592375;;;120
11:42:06.682092;IP;190-0-175-100.gba.solunet.com.ar;2514;184.107.43.74;;[S];1666861586:1666861706;;;120
11:42:06.682108;IP;190-0-175-100.gba.solunet.com.ar;2515;184.107.43.74;;[S];1444571600:1444571720;;;120
11:42:06.682125;IP;190-0-175-100.gba.solunet.com.ar;2516;184.107.43.74;;[S];702975955:702976075;;;120
11:42:06.682152;IP;190-0-175-100.gba.solunet.com.ar;2517;184.107.43.74;;[S];2016486038:2016486158;;;120
11:42:06.682172;IP;190-0-175-100.gba.solunet.com.ar;2518;184.107.43.74;;[S];1002497398:1002497518;;;120
11:42:06.682191;IP;190-0-175-100.gba.solunet.com.ar;2519;184.107.43.74;;[S];294189577:294189697;;;120
11:42:06.682210;IP;190-0-175-100.gba.solunet.com.ar;2520;184.107.43.74;;[S];1398461889:1398462009;;;120
11:42:06.682227;IP;190-0-175-100.gba.solunet.com.ar;2521;184.107.43.74;;[S];1995017329:1995017449;;;120
11:42:06.682243;IP;190-0-175-100.gba.solunet.com.ar;2522;184.107.43.74;;[S];921320533:921320653;;;120
11:42:06.682259;IP;190-0-175-100.gba.solunet.com.ar;2523;184.107.43.74;;[S];248505708:248505828;;;120
11:42:06.682276;IP;190-0-175-100.gba.solunet.com.ar;2524;184.107.43.74;;[S];558621145:558621265;;;120
11:42:06.682292;IP;190-0-175-100.gba.solunet.com.ar;2525;184.107.43.74;;[S];1118905776:1118905896;;;120
11:42:06.682308;IP;190-0-175-100.gba.solunet.com.ar;2526;184.107.43.74;;[S];1158043116:1158043236;;;120
11:42:06.682325;IP;190-0-175-100.gba.solunet.com.ar;2527;184.107.43.74;;[S];1469406826:1469406946;;;120
11:42:06.682341;IP;190-0-175-100.gba.solunet.com.ar;2528;184.107.43.74;;[S];492373102:492373222;;;120
11:42:06.682357;IP;190-0-175-100.gba.solunet.com.ar;2529;184.107.43.74;;[S];1687855121:1687855241;;;120
11:42:06.682374;IP;190-0-175-100.gba.solunet.com.ar;2530;184.107.43.74;;[S];1360633195:1360633315;;;120
11:42:06.682390;IP;190-0-175-100.gba.solunet.com.ar;2531;184.107.43.74;;[S];1274977706:1274977826;;;120
11:42:06.682407;IP;190-0-175-100.gba.solunet.com.ar;2532;184.107.43.74;;[S];549939990:549940110;;;120
11:42:06.682423;IP;190-0-175-100.gba.solunet.com.ar;2533;184.107.43.74;;[S];1109408249:1109408369;;;120
11:42:06.682439;IP;190-0-175-100.gba.solunet.com.ar;2534;184.107.43.74;;[S];1283855019:1283855139;;;120
11:42:06.682455;IP;190-0-175-100.gba.solunet.com.ar;2535;184.107.43.74;;[S];623143483:623143603;;;120
11:42:06.682472;IP;190-0-175-100.gba.solunet.com.ar;2536;184.107.43.74;;[S];709005792:709005912;;;120
11:42:06.682488;IP;190-0-175-100.gba.solunet.com.ar;2537;184.107.43.74;;[S];1528805205:1528805325;;;120
11:42:06.682504;IP;190-0-175-100.gba.solunet.com.ar;2538;184.107.43.74;;[S];940059508:940059628;;;120
11:42:06.682521;IP;190-0-175-100.gba.solunet.com.ar;2539;184.107.43.74;;[S];1190337142:1190337262;;;120
11:42:06.682537;IP;190-0-175-100.gba.solunet.com.ar;2540;184.107.43.74;;[S];1484037464:1484037584;;;120
11:42:06.682553;IP;190-0-175-100.gba.solunet.com.ar;2541;184.107.43.74;;[S];566224598:566224718;;;120
11:42:06.682570;IP;190-0-175-100.gba.solunet.com.ar;2542;184.107.43.74;;[S];788308167:788308287;;;120
11:42:06.682586;IP;190-0-175-100.gba.solunet.com.ar;2543;184.107.43.74;;[S];96067834:96067954;;;120
11:42:06.682602;IP;190-0-175-100.gba.solunet.com.ar;2544;184.107.43.74;;[S];1226579504:1226579624;;;120
11:42:06.682619;IP;190-0-175-100.gba.solunet.com.ar;2545;184.107.43.74;;[S];1551737466:1551737586;;;120
11:42:06.682635;IP;190-0-175-100.gba.solunet.com.ar;2546;184.107.43.74;;[S];368629672:368629792;;;120
11:42:06.682652;IP;190-0-175-100.gba.solunet.com.ar;2547;184.107.43.74;;[S];527715727:527715847;;;120
11:42:06.682668;IP;190-0-175-100.gba.solunet.com.ar;2548;184.107.43.74;;[S];1897998019:1897998139;;;120
11:42:06.682684;IP;190-0-175-100.gba.solunet.com.ar;2549;184.107.43.74;;[S];1187006652:1187006772;;;120
11:42:06.682700;IP;190-0-175-100.gba.solunet.com.ar;2550;184.107.43.74;;[S];836414851:836414971;;;120
11:42:06.682717;IP;190-0-175-100.gba.solunet.com.ar;2551;184.107.43.74;;[S];97200857:97200977;;;120
11:42:06.682733;IP;190-0-175-100.gba.solunet.com.ar;2552;184.107.43.74;;[S];964382000:964382120;;;120
11:42:06.682749;IP;190-0-175-100.gba.solunet.com.ar;2553;184.107.43.74;;[S];64311516:64311636;;;120
11:42:06.682765;IP;190-0-175-100.gba.solunet.com.ar;2554;184.107.43.74;;[S];1940462409:1940462529;;;120
11:42:06.682782;IP;190-0-175-100.gba.solunet.com.ar;2555;184.107.43.74;;[S];709004881:709005001;;;120
11:42:06.682798;IP;190-0-175-100.gba.solunet.com.ar;2556;184.107.43.74;;[S];1783812004:1783812124;;;120
11:42:06.682814;IP;190-0-175-100.gba.solunet.com.ar;2557;184.107.43.74;;[S];2027959598:2027959718;;;120
11:42:06.682832;IP;190-0-175-100.gba.solunet.com.ar;2558;184.107.43.74;;[S];763370841:763370961;;;120
11:42:06.682848;IP;190-0-175-100.gba.solunet.com.ar;2559;184.107.43.74;;[S];629902483:629902603;;;120
11:42:06.682865;IP;190-0-175-100.gba.solunet.com.ar;2560;184.107.43.74;;[S];1167925997:1167926117;;;120
11:42:06.682881;IP;190-0-175-100.gba.solunet.com.ar;2561;184.107.43.74;;[S];1590590930:1590591050;;;120
11:42:06.682898;IP;190-0-175-100.gba.solunet.com.ar;2562;184.107.43.74;;[S];1025391341:1025391461;;;120
11:42:06.682915;IP;190-0-175-100.gba.solunet.com.ar;2563;184.107.43.74;;[S];22267219:22267339;;;120
11:42:06.682931;IP;190-0-175-100.gba.solunet.com.ar;2564;184.107.43.74;;[S];1838110461:1838110581;;;120
11:42:06.682947;IP;190-0-175-100.gba.solunet.com.ar;2565;184.107.43.74;;[S];1314325144:1314325264;;;120
